Titel,Auteur,Tags,Locatie,Goodreads Link,Graad,ISBN,Link coverafbeelding
Het lied van de raaf,Per Nilsson,"verlies, drama, identiteit",Boektoppers,https://www.goodreads.com/book/show/11079133,Eerste graad,9789056370213,
Iedere dag telt,Tatiana Vassilieva,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/11079811,Tweede graad,9789060699669,
Winterbaai,Mats Wahl,"coming of age, romance, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/11082717,Tweede graad,9789065658661,
Dansen op blote voeten,Nicole Derycker,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/11184652,Tweede graad,9789059083035,
Serge / Samuel,Willy Spillebeen,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/11214846,Tweede graad,9789059081741,
Anastasia,Willy Spillebeen,"oorlog, romance, verlies, vriendschap, historisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/112243782,Tweede graad,9789065659965,
Met uitzicht op zee,David Vogel,"reizen, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/112249800,Derde graad,9789029029117,
Een tere huid,Gerda van Erkel,"romance, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/112251507,Tweede graad,9789059085053,
Lege ogen,Leen van den Berg,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/11323525,Tweede graad,9789044801460,
Het Zwijgen van de Vossen,Mario van Brakel,"spanning, mysterie, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/11330050,Eerste graad,9789044811582,
Ik heet Olivia en daar kan ik ook niks aan doen,Jowi Schmitz,"coming of age, identiteit, humor",Nederlandstalige fictie,https://www.goodreads.com/book/show/11375825,Eerste graad,9789047703495,
Woensdag weegdag,Diane Broeckhoven,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/11417573,Eerste graad,9789031718726,
De hemel is geen huis,Gerda van Erkel,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/11422855,Eerste graad,9789059080157,
Room,Emma Donoghue,"spanning, psychologisch, familie, drama",Engelstalige fictie,https://www.goodreads.com/book/show/11423113,Derde graad,9789059321366,
Zwanger van een Droom,Rob Baetens,"romance, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/11423113,Tweede graad,9789059321366,
Geen geweld,Mieke van Hooft,"school, vriendschap, drama",Boektoppers,https://www.goodreads.com/book/show/11432065,Eerste graad,9789025108335,
"Brix, om te leven",Herman Vos,"avontuur, coming of age, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/114653541,Tweede graad,9789063061937,
Is het al zo laat?,Jos Ghysen,"humor, non-fictie, cultuur",Boektoppers,https://www.goodreads.com/book/show/114702193,Eerste graad,9789002158674,
"The Ruby in the Smoke (Sally Lockhart, #1)",Philip Pullman,"mysterie, spanning, historisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/114982,Derde graad,9780394895895,
Een dubbel vuurteken,Gerda van Erkel,"historisch, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/11520241,Tweede graad,9789059080416,
Levende steden,Philip Reeve,"sciencefiction, dystopisch, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/11547532,Tweede graad,9789022554623,
Over Zee,Marleen Nelen,"reizen, verlies, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/11693053,Eerste graad,9789059083875,
"Feun en de vloek van de sjamaan (Feun, #1)",Paul Kustermans,"avontuur, fantasy",Nederlandstalige fictie,https://www.goodreads.com/book/show/11695337,Eerste graad,9789022319482,
Emma's noorderlicht,Diet Verschoor,"coming of age, familie, verlies",Boektoppers,https://www.goodreads.com/book/show/11782410,Tweede graad,9789025108403,
Het is de liefde die we niet begrijpen,Bart Moeyaert,"queer, familie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/1179370,Derde graad,9789021475356,
De tijd is een cirkel,Malika Oulad-Chaâra,"avontuur, sciencefiction, young adult",Nederlandstalige fictie,https://www.goodreads.com/book/show/11923730,Tweede graad,9789052405001,
Dagboek van een vampierwatje,Tim Collins,"humor, school, fantasie",Nederlandstalige fictie,https://www.goodreads.com/book/show/11962537,Eerste graad,9789021668888,
De Veenhocks,Bart Römer,"avontuur, mysterie, vriendschap, familie, mental health, coming of age",Nederlandstalige fictie,https://www.goodreads.com/book/show/11998269,Eerste graad,9789044315240,
Mijn laatste dag als genie,Tanneke Wigersma,"humor, school, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/11998933,Eerste graad,9789045105659,
Het huis aan het kanaal,Georges Simenon,"mysterie, spanning, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/12057933,Derde graad,9789057201660,
Catwalk,Dirk Bracke,"young adult, identiteit, drama",Boektoppers,https://www.goodreads.com/book/show/12074111,Tweede graad,9789059083943,
Op kot,Marita de Sterck,"coming of age, school, humor",Boektoppers,https://www.goodreads.com/book/show/12136038,Tweede graad,9789045100098,
"Black (Black, #1)",Dirk Bracke,"young adult, spanning, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/12160331,Tweede graad,9789059081987,
Een zomerdag in mijn hoofd,Gerda van Erkel,"coming of age, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/12164584,Tweede graad,9789059083271,
Het nachtland,Jan De Leeuw,"spanning, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/12164587,Tweede graad,9789059081734,
Grenzen,Katrien Seynaeve,"coming of age, identiteit, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/12265242,Eerste graad,9789031716203,
Jona,Anna van Praag,"young adult, coming of age, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/122850498,Tweede graad,9789047715184,
"Persepolis (Persepolis, #1-4)",Marjane Satrapi,"autobiografie, coming of age, identiteit, migratie, graphic novel",Graphic novels,https://www.goodreads.com/book/show/123223387,Derde graad,9789025473716,
Hij was mijn vriend,Anneke Scholtens,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/12400572,Eerste graad,9789025834999,
Geest,Robert Harms,"literatuur, cultuur, filosofie",Nederlandstalige fictie,https://www.goodreads.com/book/show/12477192,Derde graad,9789059330856,
De geest van Pegasus,Harm Tilstra,"avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/12477192,Eerste graad,9789059330856,
Wapenland,Marc Hendrickx,"spanning, misdaad, actie",Nederlandstalige fictie,https://www.goodreads.com/book/show/12478082,Eerste graad,9789059326811,
De smaak van zijn stem,Piet De Loof,"mysterie, psychologisch, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/12478088,Tweede graad,9789059326743,
De grot,Tim Krabbé,"avontuur, identiteit, misdaad, mysterie, spanning, vriendschap, bekroond",Nederlandstalige fictie,https://www.goodreads.com/book/show/12478133,Derde graad,9789044613551,
Met je rug tegen de muur,Klaus Kordon,"historisch, migratie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/124792051,Tweede graad,9789020921090,
Een weeffout in onze sterren,John Green,"coming of age, mental health, mysterie, romance, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/124944704,Tweede graad,9789041714862,
De verloren vader,Cynthia Voigt,"familie, coming of age, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/12506770,Tweede graad,9789021486185,
"Magdalena, zondares",Lilian Faschinger,"historisch, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/12546828,Derde graad,9789041400871,
De wildernis in,Jon Krakauer,"non-fictie, avontuur, autobiografie",Boektoppers,https://www.goodreads.com/book/show/12566385,Derde graad,9789044609400,
De god beneden de zee: het verhaal van de Griekse goden,Leon Garfield,"mythologie, klassieker, fantasie",Nederlandstalige fictie,https://www.goodreads.com/book/show/126763750,Eerste graad,9789021463605,
Gebroken soep,Jenny Valentine,"familie, verlies, coming of age",Boektoppers,https://www.goodreads.com/book/show/12770434,Tweede graad,9789048801565,
De bovenkamer van Jakob,Evelien De Vlieger,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/12900591,Eerste graad,9789020995893,
Mijn vader zegt dat wij tevens redden,Do Van Ranst,"coming of age, familie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/12931245,Eerste graad,9789059081161,
De strijd van Jenkins' oor,Unknown Author,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/129442371,Eerste graad,9789021611167,
Diep in het woud: verzamelde verhalen van Ovidius,Michael De Cock,"mythologie, klassieker, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/12953797,Derde graad,9789059083929,
Het naveltheater,Hilde van Cauteren,"poëzie, identiteit, humor",Nederlandstalige fictie,https://www.goodreads.com/book/show/12953912,Derde graad,9789059083967,
Liefste Esther,Herman Van Campenhout,"romance, drama, verlies",Boektoppers,https://www.goodreads.com/book/show/12990210,Tweede graad,9789059084087,
Mijn stilte,Ina Vandewijer,"historisch, familie, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/12991128,Eerste graad,9789059082601,
Moord op een schilderij,Hilde E. Gerard,"mysterie, spanning, misdaad",Boektoppers,https://www.goodreads.com/book/show/12994960,Eerste graad,9789059083264,
Engelenmoord,Wendy Stroobant,"spanning, misdaad, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/12995216,Derde graad,9789059084070,
Maanlief,Marleen Nelen,"romance, drama, identiteit",Boektoppers,https://www.goodreads.com/book/show/13011754,Eerste graad,9789059082540,
De arkvaarders,Anne Provoost,"historisch, young adult, romance, sciencefiction, avontuur, bekroond",Boektoppers,https://www.goodreads.com/book/show/13023712,Tweede graad,9789034544964,
Blizzard,R.H. Schoemans,"avontuur, coming of age, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/13034048,Eerste graad,9789059082625,
De kleuren van het getto,Aline Sax,"historisch, graphic novel, oorlog",Graphic novels,https://www.goodreads.com/book/show/13043299,Tweede graad,9789058387363,
De Slachte,Ridley Pearson,"horror, mysterie, misdaad, spanning, detective",Nederlandstalige fictie,https://www.goodreads.com/book/show/13050219,Tweede graad,9789026972843,
De winter van de Belgica,Willy Schuyesmans,"historisch, avontuur, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/13050885,Tweede graad,9789031709762,
Stilstaan,Willy Schuyesmans,"spanning, misdaad, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/13050919,Tweede graad,9789031711499,
Antigone's keuze: Antigone van Sophocles,Willy Schuyesmans,"klassieker, mythologie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13050988,Derde graad,9789059080553,
Braam,Willy Schuyesmans,"spanning, mysterie, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/13052065,Tweede graad,9789031709434,
Middernachtzonde,Willy Schuyesmans,"spanning, mysterie, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/13052152,Tweede graad,9789031716814,
Mag het op mijn manier?,René Swartenbroekx,"humor, school, coming of age",Nederlandstalige fictie,https://www.goodreads.com/book/show/13062092,Eerste graad,9789031705047,
Je ziet maar ... !,René Swartenbroekx,"humor, familie, school",Boektoppers,https://www.goodreads.com/book/show/13063286,Eerste graad,9789031717026,
De droom van de farao,Herman Van Campenhout,"historisch, avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/13086822,Eerste graad,9789059082403,
Winnaar in Olympia,Herman Van Campenhout,"sport, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/13087634,Eerste graad,9789059321359,
De hoofdprijs,Herman Van Campenhout,"avontuur, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/13091319,Eerste graad,9789059321991,
Voetballen of vechten?,Herman Van Campenhout,"sport, avontuur",Boektoppers,https://www.goodreads.com/book/show/13091445,Derde graad,9789059081994,
De omgekeerde Dendermonde,Henri van Daele,"historisch, avontuur, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/13104245,Eerste graad,9789020956962,
Jan Praet: van rebel tot rover,Henri van Daele,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/13104268,Eerste graad,9789022318942,
"Code F242 (De Zwarte Adem, #1)",Erwin Claes,"spanning, mysterie, misdaad",Boektoppers,https://www.goodreads.com/book/show/13163945,Eerste graad,9789044815115,
De tocht van Bette Reis,Johan Ballegeer,"historisch, avontuur, migratie",Nederlandstalige fictie,https://www.goodreads.com/book/show/13170416,Eerste graad,9789059040076,
De ring van de wraak,Hedwig van de Velde,"avontuur, mysterie, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/13246851,Eerste graad,9789059084117,
De kinderen van Kapitein Grant: Zuid-Amerika,Jules Verne,"sciencefiction, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/13346680,Eerste graad,9789010017857,
De kinderen van Kapitein Grant: De Stille Zuidzee,Jules Verne,"sciencefiction, avontuur, klassieker",Boektoppers,https://www.goodreads.com/book/show/13346699,Eerste graad,9789010017871,
Kallinos van Messene,Paul Kustermans,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/13417878,Eerste graad,9789031719075,
P.S. Ik ben uw dochter,Mirjam Oldenhave,"familie, humor, identiteit",Boektoppers,https://www.goodreads.com/book/show/13420639,Tweede graad,9789047520122,
De eerste lente,Klaus Kordon,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/13424851,Tweede graad,9789020926255,
"Elfenblauw: Het juweel van Silnaris (Elfenblauw, #1)",Johan Vandevelde,"fantasy, avontuur, mysterie",Boektoppers,https://www.goodreads.com/book/show/13498228,Eerste graad,9789059328075,
Het grote misschien,John Green,"coming of age, romance, identiteit",Boektoppers,https://www.goodreads.com/book/show/13500961,Tweede graad,9789056377106,
Een andere huid,Yennik Meert,"coming of age, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/13508215,Tweede graad,9789065657718,
Kus uit India,Nicole Derycker,"historisch, avontuur, reizen",Nederlandstalige fictie,https://www.goodreads.com/book/show/13514930,Tweede graad,9789059084049,
Sequoia,Kirstin Vanlierde,"natuur, avontuur, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/13519617,Eerste graad,9789059083721,
"Ssst! Wie niet horen wil, moet voelen",Piet De Loof,"humor, school, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/13543632,Eerste graad,9789059327986,
Marja,Lies Bate,"familie, verlies, drama",Boektoppers,https://www.goodreads.com/book/show/13544006,Eerste graad,9789059081505,
