Titel,Auteur,Tags,Locatie,Goodreads Link,Graad,ISBN,Link coverafbeelding
Hoe ik het kopbeest versloeg: 23 manieren om niet onzichtbaar te zijn,Mieke Versyp,"humor, identiteit, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/16143714,Eerste graad,9789401400831,
iBoy,Kevin Brooks,"sciencefiction, spanning, misdaad",Boektoppers,https://www.goodreads.com/book/show/16153118,Tweede graad,9789076168241,
Zwarte zwaan,Gideon Samson,"avontuur, familie, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/16172191,Eerste graad,9789025861308,
Een-nul voor de autisten,Karlijn Stoffels,"mental health, familie, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/16177100,Tweede graad,9789045100685,
Afscheid van een koning,Rosemary Sutcliff,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/16192999,Tweede graad,9025844766,
Boris,Jaap ter Haar,"historisch, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/1620076,Eerste graad,9780153022326,
Het zwaard van de krab,Margreet Jansen,"historisch, avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/162519369,Eerste graad,9789053330326,
Verlangen naar vrijheid,An Rutgers van der Loeff,"historisch, avontuur, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/162610004,Eerste graad,9789021605456,
Sandor slash Ida,Sara Kadefors,"coming of age, school, identiteit",Boektoppers,https://www.goodreads.com/book/show/17131110,Tweede graad,9789044800678,
Kartoutchke,Luc Versteylen,"avontuur, humor, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/17156342,Eerste graad,9052401810,
Lara,Inez van Loon,"avontuur, coming of age, familie, identiteit, historisch, vriendschap, romance, mysterie",Boektoppers,https://www.goodreads.com/book/show/17182788,Tweede graad,9789044817980,
Verre wereld,Els Pelgrom,"kortverhalen, historisch, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/17193066,Eerste graad,9789029096058,
Hannibal,Michael De Cock,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/17210314,Eerste graad,9789059084407,
Engelenkus,Hilde E. Gerard,"mysterie, spanning, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/17281422,Tweede graad,9789059084483,
Ons geluk,Gerard Walschap,"drama, familie, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/17281422,Derde graad,9789059084483,
De nacht van 2 April,Jan Simoen,"identiteit, oorlog, familie, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/17293643,Tweede graad,9789045114088,
De boekendief,Markus Zusak,"historisch, oorlog, young adult, bekroond, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/172999777,Derde graad,9789041714466,
Strepen op de weg,Marja van der Linden-Taal,"school, identiteit, drama",Boektoppers,https://www.goodreads.com/book/show/17341894,Eerste graad,9020532391,
Dracula,Ed Franck,"horror, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/17379640,Derde graad,9789059081567,
Zijde,Alessandro Baricco,"avontuur, historisch, romance, young adult, bekroond",Boektoppers,https://www.goodreads.com/book/show/17566241,Derde graad,9789401401999,
Zijdeman,Kathleen Vereecken,"historisch, familie, verlies",Boektoppers,https://www.goodreads.com/book/show/17566241,Eerste graad,9789401401999,
Zoek,Mats Wahl,"misdaad, mysterie, school, verlies, spanning",Boektoppers,https://www.goodreads.com/book/show/17607904,Tweede graad,9789059081338,
De vreselijke belevenissen van Barnaby Brocket,John Boyne,"humor, avontuur, fantasie",Boektoppers,https://www.goodreads.com/book/show/17695485,Eerste graad,9789022564547,
De laatkomer,Dimitri Verhulst,"familie, verlies, romance",Nederlandstalige fictie,https://www.goodreads.com/book/show/17792095,Derde graad,9789025441463,
Broergeheim,Emiel de Wild,"familie, mysterie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/17829194,Tweede graad,9789025862046,
"Alex en de Dux van het Zuiden (Alex, boek 1)",Ellis Flipse,"young adult, fantasy, avontuur",Boektoppers,https://www.goodreads.com/book/show/17903315,Eerste graad,9789059084711,
Verloren vrouw,Gillian Flynn,"misdaad, familie, mysterie, spanning",Boektoppers,https://www.goodreads.com/book/show/18049021,Derde graad,9789022566893,
De Leeuwendochter,Roger H. Schoemans,"historisch, avontuur, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/18075944,Tweede graad,9789059081529,
Zoals het gebeurd is,Herman van de Wijdeven,"avontuur, vriendschap, coming of age",Boektoppers,https://www.goodreads.com/book/show/18161356,Tweede graad,9789022328095,
Blijven slapen,Evelien De Vlieger,"coming of age, romance, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/18275340,Eerste graad,9789044805079,
Dun!,Do Van Ranst,"coming of age, school, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/18275399,Tweede graad,9789059081925,
Iedereen bleef brood eten,Do Van Ranst,"familie, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/18281087,Eerste graad,9789058388438,
Madame Valentine of de tederheid,Stef Vancaeneghem,"romance, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/18289064,Derde graad,9789022312278,
Zwart / wit : een verhaal over onrecht,Jon Ewo,"coming of age, identiteit, vriendschap, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/18299694,Eerste graad,9789059081864,
Kinderen van de leeuwendochter,Roger H. Schoemans,"historisch, avontuur, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/18366027,Tweede graad,9789059082564,
De vampierenmoord,Sam van Rooy,"spanning, mysterie, horror, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/18368532,Tweede graad,9789052404158,
Kieuw,Saskia Maaskant,"fantasy, avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/18401580,Eerste graad,9789059085183,
"Jan, mijn vriend",Peter Pohl,"coming of age, vriendschap, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/18404615,Tweede graad,9789021478517,
Het geheim van Ruysbroeck,Bart Römer,"mysterie, avontuur, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/18479800,Eerste graad,9789044321944,
Stiefkind,Selma Noort,"familie, verlies, drama",Boektoppers,https://www.goodreads.com/book/show/18522707,Tweede graad,9789025862794,
"Jongens, het zijn net huisdieren",Diane Messidoro,"humor, satire, relaties",Boektoppers,https://www.goodreads.com/book/show/18663522,Tweede graad,9789025753092,
Zeven minuten na middernacht,Patrick Ness,"mental health, verlies, fantasie",Boektoppers,https://www.goodreads.com/book/show/18666393,Tweede graad,9789044526332,
Ademloos,David Getz,"school, vriendschap, coming of age",Nederlandstalige fictie,https://www.goodreads.com/book/show/18711928,Eerste graad,9789031710003,
Blauw,Liesbeth Mende,"spanning, misdaad, mysterie",Boektoppers,https://www.goodreads.com/book/show/18717663,Eerste graad,9789025753801,
Dagblind / Nachtblind,Guy Didelez,"spanning, mysterie, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/18746597,Tweede graad,9789059322486,
Fee / Anna,Caroline Delannoy,"familie, mysterie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/18747665,Eerste graad,9789059084810,
Ooit is niet nu: het geheime leven van Tatiana D.,Brigitte van Aken,"bekroond, mysterie, familie",Boektoppers,https://www.goodreads.com/book/show/18777091,Eerste graad,9789059082939,
Ule,Marc De Bel,"historisch, avontuur, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/18799710,Eerste graad,9789022328637,
Solo,Bavo Dhooge,"spanning, misdaad, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/18833560,Derde graad,9789063065508,
De bibliotheek van Alexandrië,Jean-Pierre Luminet,"historisch, spanning, wetenschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/18884999,Derde graad,9789054666271,
Oom Wolfraam en mijn chemische jeugd,Oliver Sacks,"autobiografie, wetenschap, non-fictie",Nederlandstalige fictie,https://www.goodreads.com/book/show/18975580,Derde graad,9789029068710,
Het verborgen dorp,Ron Langenus,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/19006555,Tweede graad,9789065659125,
"Broere: de oudste, de stilste, de echtste, de verste, de lief",Bart Moeyaert,"familie, verlies, autobiografie",Nederlandstalige fictie,https://www.goodreads.com/book/show/1911224,Derde graad,9789021437859,
Het dwaallicht,Willem Elsschot,"klassieker, identiteit, literatuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/1911311,Derde graad,9789025311599,
De erfgenaam,John Grisham,"misdaad, spanning, mysterie",Boektoppers,https://www.goodreads.com/book/show/19200679,Derde graad,9789400503557,
Merg en bloed,Ina Vandewijer,"spanning, misdaad, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/19462391,Tweede graad,9789059330139,
Lieve leugens,Brigitte van Aken,"familie, drama, identiteit",Boektoppers,https://www.goodreads.com/book/show/19484438,Eerste graad,9789059082168,
De komedianten van de Bastille,Patrick Bernauw,"historisch, avontuur, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/19546080,Eerste graad,9789065659484,https://media.s-bol.com/grykK0WgAB9/550x836.jpg
Neeland,Nic Balthazar,"mental health, coming of age, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/20403054,Tweede graad,9789401409643,
Nachtvuur,Stefan Boonen,"bekroond, spanning, mysterie",Boektoppers,https://www.goodreads.com/book/show/20403091,Eerste graad,9789044807912,https://media.s-bol.com/BxvnogYAvzk/831x1200.jpg
Het huis van eb en vloed,Ed Franck,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/20403176,Eerste graad,9789031713783,
De schorpioenen van Kato Zagros,Patrick Lagrou,"avontuur, mysterie, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/20443376,Eerste graad,9789044800937,
De uitverkorene,Luc van Tolhuyzen,"historisch, psychologisch, oorlog, familie, verlies, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/20591414,Derde graad,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1390246512i/20591414.jpg
Stoeipoes,Bavo Dhooge,"humor, spanning, misdaad",Nederlandstalige fictie,https://www.goodreads.com/book/show/20627162,Derde graad,9789059081352,
Moord met een geurtje,Hilde E. Gerard,"humor, mysterie, spanning",Boektoppers,https://www.goodreads.com/book/show/20631121,Eerste graad,9789060000000,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789059083707&VLACCnr=7677137&CDR=&EAN=&ISMN=&EBS=&coversize=medium
Splinters,Marita de Sterck,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/2114028,Tweede graad,9789021483085,
De ramp van Tsjernobyl,Andy Marino,"non-fictie, geschiedenis, spanning",Boektoppers,https://www.goodreads.com/book/show/212161459,Tweede graad,9789020634617,
Los,Tom Naegels,"bekroond, identiteit, drama",Boektoppers,https://www.goodreads.com/book/show/212669657,Tweede graad,9789059083714,
Het mes van Milosh,Roger H. Schoemans,"historisch, avontuur, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/212669657,Eerste graad,9789059083714,
Blanco,Peter Terrin,"spanning, psychologisch, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/21474483,Derde graad,9789029573788,
Klopjacht. Het verhaal van de bokkenrijders,R.H. Schoemans,"historisch, spanning, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/21494549,Tweede graad,9789059083219,
Vogels voor de kat,Jessy Marijn,"humor, avontuur, school",Boektoppers,https://www.goodreads.com/book/show/21494578,Eerste graad,9789020000000,
Zomerwoud,Linda Dielemans,"avontuur, fantasie",Boektoppers,https://www.goodreads.com/book/show/21531831,Eerste graad,9789044340273,
Hermelijn,Linda van Mieghem,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/21814926,Tweede graad,9789044821703,
Nachtverhaal,Paul Biegel,"fantasie, avontuur, mysterie",Boektoppers,https://www.goodreads.com/book/show/2182814,Eerste graad,9789025106706,
De stad brandt,Maria Jacques,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/21836976,Eerste graad,9789031709816,
Lord of the Flies,Aimée de Jongh,"graphic novel, klassieker, misdaad, identiteit, avontuur, spanning, vriendschap",Graphic novels,https://www.goodreads.com/book/show/218893624,Derde graad,9789493166899,
Honderd uur nacht,Anna Woltz,"avontuur, coming of age, identiteit, romance, vriendschap, bekroond",Nederlandstalige fictie,https://www.goodreads.com/book/show/21903699,Tweede graad,9789045116396,
Breuklijn,Ludo Enckels,"verlies, young adult, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/21923869,Eerste graad,9789059084742,
De aardappeleters : een machtig epos over lerland en het Ierse volk,Liam O'Flaherty,"avontuur, historisch, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/22063073,Derde graad,9063720629,
Razborka,De laatste stap,"spanning, misdaad, actie",Poëzie,https://www.goodreads.com/book/show/22096073,Derde graad,9789903199042,
Bolbliksem,Anthony Horowitz,"avontuur, spanning, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/22317545,Eerste graad,9789050164481,
Lang zal ze leven,Koos Meinderts,"familie, vriendschap, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/22429006,Eerste graad,9789026136153,
Westervenster,Wilma Verweij,"familie, drama, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/22473157,Eerste graad,9789045100036,
Dit is mijn dag,Aidan Chambers,"coming of age, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/22753244,Tweede graad,9789045112213,
De Heggenrijder,Jan de Zutter,"avontuur, mysterie, fantasy",Boektoppers,https://www.goodreads.com/book/show/22843826,Eerste graad,9059080424,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789059080423&VLACCnr=2497813&CDR=&EAN=&ISMN=&EBS=&coversize=medium
Negentien Negentien,Aline Sax,"historisch, oorlog",Boektoppers,https://www.goodreads.com/book/show/229281792,Eerste graad,9789026369797,
De dromenkoning,Anne Rutyne,"fantasy, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/23109850,Eerste graad,9789065658449,
Onder de ketchupwolken,Annabel Pitcher,"coming of age, familie, verlies",Boektoppers,https://www.goodreads.com/book/show/23123235,Tweede graad,9789049926458,
Het geschenk,Gaea Schoeters,"politiek, filosofie, identiteit, migratie",Nederlandstalige fictie,https://www.goodreads.com/book/show/231240787,Derde graad,9789025318604,
Hoe ik per ongeluk een boek schreef,Annet Huizing,"humor, coming of age, familie",Boektoppers,https://www.goodreads.com/book/show/23172341,Eerste graad,9789047701590,
De drie mannen van Eva,Theo Engelen,"coming of age, identiteit, romance, oorlog, gezin",Nederlandstalige fictie,https://www.goodreads.com/book/show/23176204,Eerste graad,9062495125,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789062495122&VLACCnr=10256613&CDR=&EAN=&ISMN=&EBS=&coversize=medium
De ring van Commodus,Luc Hanegreefs,"historisch, avontuur, young adult",Boektoppers,https://www.goodreads.com/book/show/23207348,Tweede graad,9789044821505,
De Bruid,Dirk Bracke,"romance, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/23219449,Tweede graad,9789059085817,
Doodgraag,Gerda van Erkel,"romance, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/23219468,Eerste graad,9789059085626,
Die foto waar ik niet op sta,Do Van Ranst,"familie, school, identiteit",Nederlandstalige fictie,https://www.goodreads.com/book/show/23244756,Eerste graad,9789059085657,
Pijnlijke papieren,Cynthia Voigt,"familie, drama, verlies",Boektoppers,https://www.goodreads.com/book/show/23294957,Tweede graad,9020913549,
Valavond,Marita de Sterck,"spanning, mysterie, verlies",Boektoppers,https://www.goodreads.com/book/show/23299348,Tweede graad,9789045117300,
Zeer kleine liefde: Met foto's van een twaalfjarige,Ted van Lieshout,"poëzie, identiteit, liefde",Nederlandstalige fictie,https://www.goodreads.com/book/show/2346211,Tweede graad,9789025839932,
Kroonsz,Marco Kunst,"fantasy, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/23592592,Eerste graad,9789047702801,
Bloedzusters (Witch Child #2),Celia Rees,"young adult, fantasy, historisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/23608956,Tweede graad,9789000034260,
Zuidland,P.F. Thomése,"historisch, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/2427497,Derde graad,9789021483955,
De honden,Allan Stratton,"young adult, mysterie, horror, spanning, bekroond",Boektoppers,https://www.goodreads.com/book/show/24287385,Tweede graad,9789030000000,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789025758806&VLACCnr=9282788&CDR=&EAN=&ISMN=&EBS=&coversize=medium
Meisjes van krijt,Lara Taveirne,"familie, drama, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/242877600,Eerste graad,9789044660364,
De kwestie Leo,Christophe Honoré,"queer, verlies, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/24443861,Tweede graad,9021466635,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789021466637&VLACCnr=2263529&CDR=&EAN=&ISMN=&EBS=&coversize=medium
Vikingbloed,Luc Hanegreefs,"historisch, avontuur, spanning",Boektoppers,https://www.goodreads.com/book/show/24829588,Eerste graad,9789044823219,
De laatsten,Isabelle Quinn,"fantasy, avontuur, mysterie",Boektoppers,https://www.goodreads.com/book/show/24853548,Tweede graad,9789044823301,
Waterschimmen,Roger H. Schoemans,"mysterie, spanning, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/24853656,Tweede graad,,
"Juniper (Doran, #2)",Monica Furtong,"historisch, fantasy, avontuur",Boektoppers,https://www.goodreads.com/book/show/248584,Tweede graad,9780679833697,
Wij twee samen,Ephameron,"autobiografie, verlies, familie, graphic novel",Graphic novels,https://www.goodreads.com/book/show/24947315,Derde graad,9789077549896,
Mijn vriend Hitler,Piet De Loof,"politiek, historisch, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/25060360,Derde graad,9789462343429,
Vuit vel,Marita de Sterck,"historisch, familie, identiteit",Boektoppers,https://www.goodreads.com/book/show/25060658,Tweede graad,9789085426202,
De roos en het zwijn,Anne Provoost,"historisch, klassieker, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/251445,Tweede graad,9789021478647,
Ik geef je de zon,Jandy Nelson,"queer, coming of age, familie, kunst",Boektoppers,https://www.goodreads.com/book/show/25146347,Derde graad,9789020679779,
"Frituur Paradiso (Alien & Sander, #2)",Marc De Bel,"humor, avontuur, drugs, romance",Nederlandstalige fictie,https://www.goodreads.com/book/show/25162938,Eerste graad,9789060000000,https://webservices.bibliotheek.be/index.php?func=cover&ISBN=9789059323896&VLACCnr=6927657&CDR=&EAN=&ISMN=&EBS=&coversize=medium
Mijn zusje,Inez van Loon,"young adult, verlies, familie, bekroond",Nederlandstalige fictie,https://www.goodreads.com/book/show/25498816,Tweede graad,9789044824001,
Het Land van het Witte Paard,Tonny Vos-Dahmen von Buchholtz,"historisch, avontuur, migratie",Nederlandstalige fictie,https://www.goodreads.com/book/show/25636429,Eerste graad,9026114362,
De adem van de godin,Katrien Vervaele,"spanning, mysterie, historisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/25792540,Tweede graad,9789020972672,
Valse start,Gerard van Gemert,"sport, avontuur, vriendschap, misdaad",Boektoppers,https://www.goodreads.com/book/show/25914694,Eerste graad,9789460000000,https://media.s-bol.com/Rq4B54rYk11q/Y67kzGp/846x1200.jpg
Het circus komt voorbij,Patrick Modiano,"familie, verlies, mysterie",Boektoppers,https://www.goodreads.com/book/show/25943993,Eerste graad,9789021458250,
Op drift,Diana Wieler,"coming of age, identiteit, sport",Nederlandstalige fictie,https://www.goodreads.com/book/show/25968164,Tweede graad,9789025731540,
Veronica: dagboek van een moordenaar,Jana Baeskens,"spanning, psychologisch, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/26027650,Tweede graad,9789059086586,
De spiegel,Gerda van Erkel,"familie, identiteit, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/26093443,Eerste graad,9789063063009,
De glazen vogel,Gerda van Erkel,"romance, mysterie, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/26093443,Eerste graad,9789063063009,
Kussen in de kantlijn,Gerda van Erkel,"romance, coming of age, school",Nederlandstalige fictie,https://www.goodreads.com/book/show/26127199,Tweede graad,9789059083660,
Brief van goud,Roger Vanhoeck,"avontuur, mysterie, romance",Nederlandstalige fictie,https://www.goodreads.com/book/show/26175767,Eerste graad,9789059321373,
Marokko aan de plas,Karlijn Stoffels,"migratie, vriendschap, school",Boektoppers,https://www.goodreads.com/book/show/26180103,Eerste graad,9789030000000,https://media.s-bol.com/q9glE8XgQMoy/Z5vxKJ/550x726.jpg
Grensgangers,Aline Sax,"historisch, oorlog, migratie",Nederlandstalige fictie,https://www.goodreads.com/book/show/26308250,Tweede graad,9789059086593,
Boer Gilles van Ham,J.R.R. Tolkien,"avontuur, fantasy",Nederlandstalige fictie,https://www.goodreads.com/book/show/26533448,Eerste graad,9789022575505,
Voluit Samuel,Do Van Ranst,"familie, coming of age, identiteit",Boektoppers,https://www.goodreads.com/book/show/26797716,Tweede graad,9789059086708,
Bloem in de wind,Annelies Tock,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/26806097,Eerste graad,9789068227260,
Gouden sterren,Lois Lowry,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/26825522,Eerste graad,9789020920727,
Op liefde en dood,Gerda van Erkel,"romance, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/27034237,Tweede graad,9789059086647,
Jongen zonder naam,Bettie Elias,"historisch, familie, verlies",Boektoppers,https://www.goodreads.com/book/show/27247495,Tweede graad,9789059086845,
NIETS was alles wat hij zei (met theatertekst),Nic Balthazar,"mental health, coming of age, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/2742190,Tweede graad,9789031722723,
Niets,Janne Teller,"filosofie, identiteit, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/2742190,Derde graad,9789044811780,
Perenbomen bloeien wit,Gerbrand Bakker,"familie, verlies, drama",Boektoppers,https://www.goodreads.com/book/show/2761019,Eerste graad,9789034555137,
Hertz,Marleen Nelen,"familie, drama, verlies",Boektoppers,https://www.goodreads.com/book/show/27835797,Tweede graad,9789045118802,
Het geheim van de tempelier,Patrick Lagrou,"historisch, avontuur, mysterie",Boektoppers,https://www.goodreads.com/book/show/28007064,Eerste graad,9789044826708,
Mamma?,Iris de Groot,"autobiografie, coming of age, familie, graphic novel",Graphic novels,https://www.goodreads.com/book/show/28234541,Tweede graad,9789082470406,
"Alien (Alien & Sander, #1)",Marc De Bel,"avontuur, humor, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/28446119,Eerste graad,9789059323544,
Oorlogswinter,Jan Terlouw,"historisch, oorlog, spanning",Boektoppers,https://www.goodreads.com/book/show/2859279,Tweede graad,9789056375195,
Jeuk,Saskia de Coster,"humor, identiteit, drama",Boektoppers,https://www.goodreads.com/book/show/2893964,Derde graad,9789044610529,
De man uit het niets,Michael Morpurgo,"historisch, oorlog, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/28943174,Tweede graad,9789021618517,
Wat niemand ziet,Martijn Niemeijer,"spanning, mysterie, psychologisch",Nederlandstalige fictie,https://www.goodreads.com/book/show/28962652,Tweede graad,9789025869632,
De vuurdoop,Diane Matcheck,"avontuur, historisch, fantasy",Boektoppers,https://www.goodreads.com/book/show/29357459,Eerste graad,9025730566,
De Kid: Uit het leven van Charlie Chaplin,Freek Neirynck,"biografie, historisch, film",Nederlandstalige fictie,https://www.goodreads.com/book/show/29451769,Eerste graad,9789031709168,
Ik die nooit een man heb gekend,Jacqueline Harpman,"dystopisch, sciencefiction, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/29495207,Derde graad,9789068681994,
Grensgebieden,Sherryl Jordan,"fantasy, avontuur, vriendschap",Nederlandstalige fictie,https://www.goodreads.com/book/show/29555502,Eerste graad,9789050161497,
Wildernis,Esther Freud,"familie, mysterie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/29612297,Derde graad,9789021450575,
De wildernis,David Almond,"fantasie, verlies",Boektoppers,https://www.goodreads.com/book/show/29612297,Eerste graad,9789021450575,
De dood van Winnetou,Karl May,"avontuur, historisch, misdaad, mysterie, spanning",Nederlandstalige fictie,https://www.goodreads.com/book/show/2963603,Eerste graad,9789036606967,
Voor één zomer,Max Lundgren,"coming of age, vriendschap, sport",Nederlandstalige fictie,https://www.goodreads.com/book/show/29837445,Eerste graad,9789060692240,
Het stoomhuis: De waanzinnige der Nerbuddah,Jules Verne,"avontuur, sciencefiction, klassieker",Nederlandstalige fictie,https://www.goodreads.com/book/show/29905657,Eerste graad,9789010040428,
Brieven van mijn vader,Kazumi Yumoto,"coming of age, familie, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/29919916,Tweede graad,9789021489414,
Alles wat je lief is,Nicola Yoon,"romance, coming of age, drama",Boektoppers,https://www.goodreads.com/book/show/29922865,Tweede graad,9789045119090,
De bloemenkinderen,Mark De Bie,"historisch, familie, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/29954274,Derde graad,9789063063900,
De draak van Elsworth,Robert Swindells,"fantasy, avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/30296797,Eerste graad,9789065656032,
Het nest,Cynthia D'Aprix Sweeney,"familie, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/30323897,Derde graad,9789026331930,
Met één vinger getikt,Jos Ghysen,"humor, kortverhalen",Nederlandstalige fictie,https://www.goodreads.com/book/show/30970899,Eerste graad,9789002155000,
Limbo,Hilde Eynikel,"familie, verlies, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/31197532,Tweede graad,9789063063917,
Kijk niet om,Marijn Backer,"bekroond, spanning, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/3126396,Eerste graad,9789025850487,
Sterke schouders,Hanneke de Jong,"coming of age, identiteit, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/31363370,Eerste graad,9789000036141,
Dik. Lelijk. Wijf.,Anke Wauters,"mental health, coming of age, identiteit",Boektoppers,https://www.goodreads.com/book/show/31478566,Tweede graad,9789089316448,
Parcival,Ed Franck,"klassieker, avontuur, mythologie",Nederlandstalige fictie,https://www.goodreads.com/book/show/3157817,Tweede graad,9789031712267,
Dromer,Saskia Maaskant,"fantasie, avontuur, mysterie",Nederlandstalige fictie,https://www.goodreads.com/book/show/31578574,Eerste graad,9789059088030,
Mijn naam is Nul,Luigi Ballerini,"coming of age, identiteit, school",Boektoppers,https://www.goodreads.com/book/show/31767425,Tweede graad,9789044827613,
Raspoetin,Guy Didelez,"spanning, historisch, avontuur",Nederlandstalige fictie,https://www.goodreads.com/book/show/3211322,Tweede graad,"9,79E+12",https://media.s-bol.com/4o8PGKnGrRPk/wpzpj6z/781x1200.jpg
William Wenton en de luridiumdef,Bobbie Peers,"avontuur, fantasie, spanning",Boektoppers,https://www.goodreads.com/book/show/32200687,Eerste graad,9789025765408,
Vals nest,Beatrijs Peeters,"spanning, mysterie, familie",Nederlandstalige fictie,https://www.goodreads.com/book/show/32270343,Tweede graad,9789462911437,
¡Dolores!,Noëlla Elpers,"historisch, drama, verlies",Nederlandstalige fictie,https://www.goodreads.com/book/show/3248102,Tweede graad,9789047500087,
De stille pijn van Luca,Kristien Dieltiens,"mental health, coming of age, drama",Nederlandstalige fictie,https://www.goodreads.com/book/show/3248126,Tweede graad,9789044803792,
